country,year,Product and/or process innovative firms,Product innovative firms,Firms that received public support for innovation,Firms engaged in national collaboration only,Firms engaged in international collaboration
AUS,2013,64,31.6,5.8,18.1,6.1
AUT,2013,56.5,32,40,20,31
BEL,2013,60.9,34.8,22.6,18.1,24.4
CAN,2013,75.8,42.8,53.2,#N/A,#N/A
CHE,2013,#N/A,44.5,7.4,7.3,14.7
CHL,2013,19.2,9,8,12.4,4.3
CZE,2013,51.7,24.1,24,12.3,21.9
DEU,2013,79.3,41.5,21.6,16.2,8
DNK,2013,54.5,26.3,#N/A,17.1,25.2
ESP,2013,41.4,13.7,26.9,16.3,6
EST,2013,56.8,25.4,24.5,11.1,31
FIN,2013,56.2,32.7,35.1,11.1,28.7
FRA,2013,53.5,23.7,46.1,17.9,18.2
GBR,2013,44.3,26.3,21.7,34.7,31.1
HUN,2013,31.1,12.4,34.4,24.5,18.6
IRL,2013,59.5,27.9,#N/A,19.7,16.5
ISL,2013,63.8,44.4,#N/A,#N/A,8.9
ISR,2013,75.2,33.7,7.5,13.7,27.9
ITA,2013,56.3,28.7,29.2,7.4,4.7
JPN,2013,47.9,15.8,24.5,32.5,8.8
KOR,2013,38.3,24.7,#N/A,21.4,1.3
LUX,2013,68.1,39.9,16.8,1.8,27.9
MEX,2013,#N/A,9.6,54.8,#N/A,#N/A
NLD,2013,56.7,34.9,34.1,19.1,14.4
NOR,2013,43.5,21.9,#N/A,11.3,18.3
NZL,2013,53.5,25.8,#N/A,15.3,9.5
POL,2013,28.1,10.4,19.6,16.8,16.7
PRT,2013,60.3,29.7,24.1,10.1,9.5
SVK,2013,35.6,19.8,15.5,4.5,30.2
SVN,2013,49.4,25.8,31.3,12.2,34.7
SWE,2013,59.6,36,#N/A,14.5,24
TUR,2013,51.4,24.4,28.1,3.6,6.9
USA,2013,#N/A,16.9,#N/A,#N/A,#N/A
BRA,2013,76,23.7,20.9,9.7,2.4
CHN,2013,#N/A,23.4,#N/A,19.2,1.6
RUS,2013,10.4,38.2,16.1,22.4,8.4
ZAF,2013,73.9,50.8,#N/A,12,15.6
